member_id,member
1,Blanche Bayliss
2,William Courtenay
3,Chauncey Depew
4,Elizabeth Tait
5,John Tait
6,Norman Campbell
7,Bella Cola
8,Will Coyne
9,Sam Crewes
10,Jack Ennis
11,John Forde
12,Vera Linden
13,Mr. Marshall
14,Mr. McKenzie
15,Frank Mills
16,Ollie Wilson
17,Asta Nielsen
18,Valdemar Psilander
19,Gunnar Helsengreen
20,Emil Albes
21,Hugo Flink
22,Mary Hagen
23,Helen Gardner
24,Pearl Sindelar
25,Miss Fielding
26,Miss Robson
27,Helene Costello
28,Charles Sindelar
29,Mr. Howard
30,James R. Waite
31,Mr. Osborne
32,Harry Knowles
33,Mr. Paul
34,Mr. Brady
35,Mr. Corker
36,Salvatore Papa
37,Arturo Pirovano
38,Giuseppe de Liguoro
39,Pier Delle Vigne
40,Augusto Milla
41,Attilio Motta
42,Emilise Beretta
43,R. Henderson Bland
44,Percy Dyer
45,Gene Gauntier
46,Alice Hollister
47,Samuel Morgan
48,James D. Ainsley
49,Robert G. Vignola
50,George Kellog
51,J.P. McGowan
52,Pola Negri
53,Emil Jannings
54,Harry Liedtke
55,Eduard von Winterstein
56,Reinhold Schünzel
57,Else Berna
58,Fred Immler
59,Gustav Czimeg
60,Karl Platen
61,Bernhard Goetzke
62,Magnus Stifter
63,Paul Biensfeldt
64,Willy Kaiser-Heyl
65,Alexander Ekert
66,Robert Sortsch-Pla
67,Amleto Novelli
68,Gustavo Serena
69,Carlo Cattaneo
70,Amelia Cattaneo
71,Lea Giunchi
72,Bruto Castellani
73,Augusto Mastripietri
74,Cesare Moltini
75,Olga Brandini
76,Ignazio Lupi
77,Giovanni Gizzi
78,Lia Orlandini
79,Matilde Guillaume
80,Ida Carloni Talli
81,Giuseppe Gambardella
82,Aristide Demetriade
83,Constanta Demetriade
84,Constantin Nottara
85,Pepi Machauer
86,Aurel Athanasescu
87,Jeny Metaxa-Doro
88,Nicolae Soreanu
89,Vasile Toneanu
90,Aristita Romanescu
91,Elvire Popesco
92,M. Vîrgolici
93,C. Nedelcovici
94,Mihail Tancovici-Cosmin
95,Ion Dumitrescu
96,Gheorghe Meliseanu
97,Robert Gemp
98,Frederick Warde
99,Albert Gardner
100,James Keane
101,George Moss
102,Howard Stuart
103,Virginia Rankin
104,Violet Stuart
105,Carey Lee
106,Carlotta De Felice
107,Olaf Fønss
108,Ida Orloff
109,Ebba Thomsen
110,Carl Lauritzen
111,Frederik Jacobsen
112,Charles Unthan
113,Torben Meyer
114,Svend Bille
115,Oluf Billesborg
116,Maja Bjerre-Lind
117,Cajus Bruun
118,Michael Curtiz
119,Marie Dinesen
120,Vera Esbøll
121,Lily Frederiksen
122,René Navarre
123,Edmund Breon
124,Georges Melchior
125,Renée Carl
126,Jane Faber
127,André Volbert
128,Naudier
129,Maillard
130,Yvette Andréyor
131,André Luguet
132,Hilda Borgström
133,Aron Lindgren
134,Erik Lindholm
135,Georg Grönroos
136,William Larsson
137,Richard Lund
138,Carl Barcklind
139,Hugo Björne
140,Bertil Malmstedt
141,Laurent Morléas
142,Lyda Borelli
143,Mario Bonnard
144,Gian Paolo Rosmino
145,Vittorio Rossi Pianelli
146,Dante Cappelli
147,Maria Caserini
148,Camillo De Riso
149,Emilio Petacci
150,Antonio Monti
151,Letizia Quaranta
152,Felice Metellio
153,Gentile Miotti
154,Baert
155,Suzanne Berni
156,Fernand Crommelynck
157,Nadia D'Angely
158,Henri Goidsen
159,Albert Hendrickx
160,Maurice Auzat
161,Renée Bailly
162,Georges Etienne
163,Zizi Festerat
164,Lucien Mussière
165,Réginald
166,Jane Tony
167,Luitz-Morat
168,Armand Dutertre
169,Fabienne Fabrèges
170,Marie Dorly
171,Édouard Mathé
172,Henry B. Walthall
173,Josephine Crowell
174,Lillian Gish
175,Dorothy Gish
176,Fay Tincher
177,Mae Marsh
178,Spottiswoode Aitken
179,Robert Harron
180,Miriam Cooper
181,Mary Alden
182,Donald Crisp
183,James Kirkwood
184,Jack Pickford
185,Fred Burns
186,Courtenay Foote
187,Paul Wegener
188,Grete Berger
189,Lyda Salmonova
190,John Gottowt
191,Lothar Körner
192,Fritz Weidemann
193,Jane Gail
194,Ethel Grandin
195,William H. Turner
196,Matt Moore
197,William Welsh
198,Millie Liston
199,Irene Wallace
200,William Cavanaugh
201,Arthur Hunter
202,Howard Crampton
203,W.H. Bainbridge
204,Luray Huntley
205,William Powers
206,Jack Poulton
207,Edward Boring
208,Fernanda Negri Pouget
209,Eugenia Tettoni Fior
210,Ubaldo Stefani
211,Antonio Grisanti
212,Cesare Gani Carini
213,Vitale Di Stefano
214,Maria Brioschi
215,Carlo Campogalliani
216,Ersilia Scalpellini
217,Ercole Vaser
218,Cesare Zocchi
219,Francesca Bertini
220,Carlo Benetti
221,Luciano Albertini
222,Amelia Cipriani
223,Antonio Cruichi
224,Alberto Collo
225,Alberto Albertini
226,Blanche Sweet
227,George Siegmann
228,Ralph Lewis
229,George Beranger
230,William S. Hart
231,J. Frank Burke
232,Clara Williams
233,J. Barney Sherry
234,Joseph J. Dowling
235,Carolina Catena
236,Lidia Quaranta
237,Gina Marangoni
238,Dante Testa
239,Umberto Mozzato
240,Bartolomeo Pagano
241,Raffaele di Napoli
242,Emilio Vardannes
243,Edoardo Davesnes
244,Italia Almirante-Manzini
245,Alex Bernard
246,Luigi Chellini
247,Enrico Gemelli
248,Mary Pickford
249,Owen Moore
250,Isabel Vernon
251,Georgia Wilson
252,Lucille Carney
253,W.N. Cone
254,Inez Ranous
255,Léonce Perret
256,Louis Leubas
257,Maurice Lagrenée
258,Émile Keppens
259,Marc Gérard
260,Henri Duval
261,Suzanne Le Bret
262,Jeanne Marie-Laurent
263,Adrien Petit
264,Suzanne Privat
265,Sidney Drew
266,Edith Storey
267,Charles Kent
268,Mrs. Sidney Drew
269,Ada Gifford
270,Ethel Lloyd
271,Lillian Burns
272,Grace Stevens
273,Allan Campbell
274,Cortland Van Deusen
275,Frank O'Neil
276,Henrik Galeen
277,Rudolf Blümner
278,Robert A. Dietrich
279,Carl Ebert
280,Jakob Tiedtke
281,Benjamin Christensen
282,Karen Caspersen
283,Otto Reinwald
284,Fritz Lamprecht
285,Amanda Lund
286,Hermann Spiro
287,Bjørn Spiro
288,Holger Bjerre
289,Otto Lagoni
290,Charles Løwaas
291,Holger Rasmussen
292,Svend Rindom
293,Robert Schmidt
294,Finn Wennerwald
295,Violet MacMillan
296,Frank Moore
297,Pierre Couderc
298,Fred Woodward
299,Raymond Russell
300,Arthur Smollet
301,J. Charles Haydon
302,Todd Wright
303,Vivian Reed
304,Mai Wells
305,Mildred Harris
306,Louise Emmons
307,Jacqueline Lovell
308,Myrtle Stedman
309,Herbert Standing
310,Adele Farrington
311,Stanley Hunt
312,Sarah Constance Smith Hunt
313,Mrs. George Walkus
314,Paddy 'Malid
315,Balutsa
316,Kwagwanu
317,Francine Hunt
318,Bob Wilson
319,Awidi
320,Alfred Charlie
321,Kate Bruce
322,J. Jiquel Lanoe
323,Gertrude Bambrick
324,Harry Carey
325,Leontine Dranet
326,Bobbie Gould
327,Marie Wayne
328,Richard Rosson
329,Frank Bristol
330,Bert Glennon
331,Hal Roach
332,Dave Anderson
333,Jessie May Walsh
334,William Cook
335,Pearl White
336,Crane Wilbur
337,Paul Panzer
338,Edward José
339,Francis Carlyle
340,Clifford Bruce
341,Donald MacKenzie
342,Jack Standing
343,Eleanor Woodruff
344,Leroy Baker
345,Louise Du Pre
346,Oscar Nye
347,Sam J. Ryan
348,Louis J. Gasnier
349,Joe Cuny
350,Dustin Farnum
351,Monroe Salisbury
352,Winifred Kingston
353,Mrs. A.W. Filson
354,Haidee Fuller
355,Red Wing
356,Foster Knox
357,Fred Montague
358,'Baby' Carmen De Rue
359,Fernando Gálvez
360,Eugene De Rue
361,H.R. Macy
362,H.L. Swisher
363,Michael J. Kilpatrick
364,Sydney Deane
365,Harold Lockwood
366,Olive Carey
367,David Hartford
368,Louise Dunlap
369,William Walters
370,Richard Garrick
371,Eugene Walter
372,Jack Henry
