country_id,country
1,USA
2,Australia
3,Germany
4,Denmark
5,Italy
6,Romania
7,France
8,USA
9,Sweden
10,Belgium
11,Canada
12,Hungary
13,Russia
14,Mexico
15,Belgium
16,Norway
17,Denmark
18,Japan
19,Belgium
20,Austria
21,UK
22,Soviet Union
23,Germany
24,Sweden
25,Chile
26,Germany
27,India
28,Germany
29,Germany
30,Switzerland
31,France
32,Germany
33,Germany
34,China
35,Hong Kong
36,UK
37,Germany
38,Soviet Union
39,Spain
40,Czechoslovakia
41,Isle Of Man
42,India
43,Germany
44,Sweden
45,USA
46,UK
47,Germany
48,France
49,France
50,Brazil
51,USA
52,USA
53,Austria
54,France
55,Hungary
56,France
57,France
58,Portugal
59,France
60,France
61,Germany
62,USA
63,Austria
64,Mexico
65,Germany
66,Germany
67,USA
68,Turkey
69,Argentina
70,Germany
71,Poland
72,USA
73,Germany
74,France
75,Netherlands
