imdb_title_id,country_id,genre_id,company_id,title_id,year,description,duration,language,director,avg_votes,amt_votes,metascore,user_reviews,critic_reviews
tt0000009,1,1,1,1,1894,The adventures of a female reporter in the 1890s.,45,None,Alexander Black,5.9,154,,1.0,2.0
tt0000574,2,2,2,2,1906,True story of notorious Australian outlaw Ned Kelly (1855-80).,70,None,Charles Tait,6.1,589,,7.0,7.0
tt0001892,4,3,3,3,1911,"Two men of high rank are both wooing the beautiful and famous equestrian acrobat Stella. While Stella ignores the jeweler Hirsch, she accepts Count von Waldberg's offer to follow her home, ...",53,,Urban Gad,5.8,188,,5.0,2.0
tt0002101,1,3,4,4,1912,The fabled queen of Egypt's affair with Roman general Marc Antony is ultimately disastrous for both of them.,100,English,Charles L. Gaskill,5.2,446,,25.0,3.0
tt0002130,5,4,5,5,1911,Loosely adapted from Dante's Divine Comedy and inspired by the illustrations of Gustav Doré the original silent film has been restored and has a new score by Tangerine Dream.,68,Italian,"Francesco Bertolini, Adolfo Padovan",7.0,2237,,31.0,14.0
tt0002199,1,2,6,6,1912,"An account of the life of Jesus Christ, based on the books of the New Testament: After Jesus' birth is foretold to his parents, he is born in Bethlehem, and is visited by shepherds and wise...",60,English,Sidney Olcott,5.7,484,,13.0,5.0
tt0002423,3,2,7,7,1919,"The story of Madame DuBarry, the mistress of Louis XV of France, and her loves in the time of the French revolution.",85,German,Ernst Lubitsch,6.8,753,,12.0,9.0
tt0002445,5,3,8,8,1913,"An epic Italian film ""Quo Vadis"" influenced many of the later movies.",120,Italian,Enrico Guazzoni,6.2,273,,7.0,5.0
tt0002452,6,5,9,9,1912,The movie depicts the Romanian War of Independence (1877-1878).,120,,"Aristide Demetriade, Grigore Brezeanu",6.7,198,,4.0,1.0
tt0002461,1,3,10,10,1912,Richard of Gloucester uses manipulation and murder to gain the English throne.,55,English,"André Calmettes, James Keane",5.5,225,,8.0,1.0
tt0002646,4,3,11,11,1913,"After Dr. Friedrich's wife becomes mentally unstable and his research papers are rejected, he leaves the country to respite.",121,Danish,August Blom,6.6,331,,9.0,9.0
tt0002844,7,6,12,12,1913,Inspector Juve is tasked to investigate and capture an infamous criminal Fantomas.,54,French,Louis Feuillade,7.0,1944,,9.0,28.0
tt0003014,9,3,13,13,1913,Single mother is separated from her children due to financial struggles.,96,,Victor Sjöström,7.1,948,,16.0,7.0
tt0003037,7,6,12,14,1913,"In Part Two of Louis Feuillade's 5 1/2-hour epic follows FantÃ'mas, the criminal lord of Paris, master of disguise, the creeping assassin in black, as he is pursued by the equally resourceful Inspector Juve.",61,French,Louis Feuillade,7.0,1349,,8.0,23.0
tt0003102,5,3,14,15,1914,"Leslie Swayne, an adventurer, in order to obtain enough money to satisfy the needs of his extravagant life, has been bribed to steal the plans of the fortification from the staff officers ...",90,Italian,Mario Caserini,6.2,100,,,4.0
tt0003131,10,3,15,16,1914,"An army pilot is on a visit at the home of another army pilot in the neighboured country. He falls in love with his sister. After the outbreak of a war between the two countries, her ...",50,French,Alfred Machin,6.5,124,,2.0,2.0
tt0003165,7,6,12,17,1913,"After a body disappears from inside the prison, a series of crimes take place, all seemingly by the dead man. With Juve presumed dead, Fandor must investigate alone. Will Fantomas finally be brought to justice?",90,French,Louis Feuillade,7.0,1050,,6.0,18.0
tt0003167,1,3,16,18,1914,"John Howard Payne at his most miserable point in life, writes a song which becomes popular and inspires other people at some point in their lives.",55,English,D.W. Griffith,5.8,187,,6.0,
tt0003419,3,3,17,19,1913,"Balduin, a student of Prague, leaves his roystering companions in the beer garden, when he finds he has reached the end of his resources. He is scarcely seated in a quiet corner when a ...",85,"German, English","Paul Wegener, Stellan Rye",6.5,1768,,20.0,26.0
tt0003471,1,6,18,20,1913,"A woman, with the aid of her police officer sweetheart, endeavors to uncover the prostitution ring that has kidnapped her sister, and the philanthropist who secretly runs it.",88,English,George Loane Tucker,6.0,552,,14.0,11.0
tt0003489,5,4,19,21,1913,Two love triangles intersect in ancient Pompei.,88,Italian,"Mario Caserini, Eleuterio Rodolfi",6.2,474,,13.0,7.0
tt0003637,5,3,20,22,1915,Assunta Spina is a tragedy set in Naples at the beginning of the twentieth century. Assunta and Michele are in love but others come between them and there is much jealousy. They fight and ...,72,,"Francesca Bertini, Gustavo Serena",6.4,378,,7.0,2.0
tt0003643,1,6,16,23,1914,"Prevented from dating his sweetheart by his uncle, a young man turns his thoughts to murder.",78,English,D.W. Griffith,6.4,1105,,14.0,11.0
tt0003657,1,7,21,24,1914,"After the bandit Jim Stokes robs the stage he is wounded fleeing. Recuperating at a ranch, he falls in love with and marries the daughter. Now wishing to go straight he tries to return the ...",70,English,Reginald Barker,6.5,144,,8.0,3.0
