imdb_title_id,usa_gross,worldwide_gross,budget
tt0000009,,,
tt0000574,$ 2250,,
tt0001892,,,
tt0002101,$ 45000,,
tt0002130,,,
tt0002199,,,
tt0002423,,,
tt0002445,ITL 45000,,
tt0002452,ROL 400000,,
tt0002461,$ 30000,,
tt0002646,,,
tt0002844,,,
tt0003014,,,
tt0003037,,,
tt0003102,,,
tt0003131,,,
tt0003165,,,
tt0003167,,,
tt0003419,,,
tt0003471,$ 5700,,
tt0003489,,,
tt0003637,,,
tt0003643,,,
tt0003657,,,
tt0003740,$ 210000,,
tt0003772,,,
tt0003883,,,
tt0003930,,,
tt0003973,,,
tt0004026,,,
tt0004066,,,
tt0004099,$ 23500,,
tt0004134,,,
tt0004150,,,
tt0004181,$ 40000,,
tt0004457,,,
tt0004465,$ 25000,,
tt0004635,$ 20000,,
tt0004681,$ 10000,,
tt0004707,$ 50000,,
tt0004712,,,
tt0004743,,,
tt0004766,$ 17022,,
tt0004825,,,
tt0004838,,,
tt0004872,,,
tt0004873,$ 50000,,
tt0004972,$ 100000,,
tt0005060,$ 23430,,
tt0005078,$ 17311,,
tt0005149,$ 18000,,
tt0005339,,,
tt0005402,$ 18711,,
tt0005529,,,
tt0005557,,,
tt0005680,,,
tt0005719,,,
tt0005809,,,
tt0005916,,,
tt0005951,,,
tt0005960,,,
tt0006206,,,
tt0006327,,,
tt0006333,$ 200000,,
tt0006509,,,
tt0006517,,,
tt0006589,,,
tt0006617,,,
tt0006688,,,
tt0006731,,,
tt0006736,,,
tt0006745,,,
tt0006753,,,
tt0006780,,,
tt0006809,$ 42600,,
tt0006826,,,
tt0006864,$ 385907,,
tt0006886,,,
tt0007047,,,
tt0007183,,,$ 144968
tt0007257,,,
tt0007260,,,
tt0007309,,,
tt0007338,,,
tt0007340,,,
tt0007361,,,
tt0007367,,,
tt0007522,,,
tt0007558,,,
tt0007610,,,
tt0007755,,,
tt0007801,$ 500000,,
tt0007983,,,
tt0008011,,,
tt0008100,,,
tt0008150,$ 302976,,
tt0008188,$ 166949,,
tt0008196,,,
tt0008279,,,
tt0008309,,,
tt0008395,,,
tt0008443,,,
tt0008489,,,
tt0008499,,,
tt0008519,$ 134832,,
tt0008536,,,
tt0008634,,,
tt0008652,,,
tt0008663,SEK 60000,,
tt0008672,,,
tt0008679,,,
tt0008687,,,
tt0008710,,,
tt0008775,,,
tt0008827,,,
tt0008843,,,
tt0008854,,,
tt0008879,SEK 100000,,
tt0008891,,,
tt0008930,,,
tt0008950,,,
tt0009014,,,
tt0009062,,,
tt0009086,,,
tt0009150,,,
tt0009153,,,
tt0009241,,,
tt0009326,,,
tt0009356,,,
tt0009369,$ 125000,,
tt0009440,$ 66241,,
tt0009475,,,
tt0009559,,,
tt0009608,,,
tt0009611,,,
tt0009652,,,
tt0009682,,$ 3270000,
tt0009701,,,
tt0009737,,,
tt0009796,$ 72500,,
tt0009878,,,
tt0009892,,,
tt0009893,,,
tt0009894,,,
tt0009900,$ 67000,,
tt0009915,,,
tt0009937,$ 42000,,
tt0009968,$ 88000,,
tt0009976,,,
tt0010040,,,
tt0010060,,,
tt0010071,,,
tt0010103,,,
tt0010137,,,
tt0010162,,,
tt0010193,,,
tt0010195,$ 200000,,
tt0010208,,,
tt0010219,,,
tt0010227,,,
tt0010247,,,
tt0010267,,,
tt0010281,,,
tt0010298,,,
tt0010307,,,
tt0010323,$ 18000,$ 8811,$ 8811
tt0010418,,,
tt0010456,,,
tt0010466,$ 120000,,
tt0010484,,,
tt0010559,,,
