writer_id,imdb_title_id,writer
1,tt0000009,Alexander Black
2,tt0000574,Charles Tait
3,tt0001892,Urban Gad
4,tt0001892,Gebhard Schätzler-Perasini
5,tt0002101,Victorien Sardou
6,tt0002130,Dante Alighieri
7,tt0002199,Gene Gauntier
8,tt0002423,Norbert Falk
9,tt0002423,Hanns Kräly
10,tt0002445,Henryk Sienkiewicz
11,tt0002445,Enrico Guazzoni
12,tt0002452,Aristide Demetriade
13,tt0002452,Petre Liciu
14,tt0002461,James Keane
15,tt0002461,William Shakespeare
16,tt0002646,Axel Garde
17,tt0002646,Gerhart Hauptmann
18,tt0002844,Marcel Allain
19,tt0002844,Louis Feuillade
20,tt0003014,Nils Krok
21,tt0003037,Marcel Allain
22,tt0003037,Louis Feuillade
23,tt0003102,Emiliano Bonetti
24,tt0003102,G. Monleone
25,tt0003131,Alfred Machin
26,tt0003165,Marcel Allain
27,tt0003165,Louis Feuillade
28,tt0003167,D.W. Griffith
29,tt0003167,H.E. Aitken
30,tt0003419,Hanns Heinz Ewers
31,tt0003419,Hanns Heinz Ewers
32,tt0003489,Edward George Bulwer-Lytton
33,tt0003489,Mario Caserini
34,tt0003637,Salvatore Di Giacomo
35,tt0003637,Francesca Bertini
36,tt0003643,Edgar Allan Poe
37,tt0003643,D.W. Griffith
38,tt0003657,William H. Clifford
39,tt0003657,Thomas H. Ince
40,tt0003740,Gabriele D'Annunzio
41,tt0003740,Titus Livius
42,tt0003772,Charles Perrault
43,tt0003883,Léonce Perret
44,tt0003930,Marcel Allain
45,tt0003930,Louis Feuillade
46,tt0003973,Marguerite Bertsch
47,tt0003973,Archibald Clavering Gunter
48,tt0004026,Henrik Galeen
49,tt0004026,Paul Wegener
50,tt0004066,Benjamin Christensen
51,tt0004066,Laurids Skands
52,tt0004099,L. Frank Baum
53,tt0004099,L. Frank Baum
54,tt0004134,Lois Weber
55,tt0004150,Edward S. Curtis
56,tt0004181,Thomas Bailey Aldrich
57,tt0004181,D.W. Griffith
58,tt0004457,L. Frank Baum
59,tt0004457,L. Frank Baum
60,tt0004465,Charles W. Goddard
61,tt0004465,Basil Dickey
62,tt0004635,Edwin Milton Royle
63,tt0004635,Cecil B. DeMille
64,tt0004681,Grace Miller White
65,tt0004681,B.P. Schulberg
66,tt0004712,Jenö Janovics
67,tt0004712,Ede Tóth
68,tt0004743,Harriet Beecher Stowe
69,tt0004743,George L. Aiken
70,tt0004766,Owen Wister
71,tt0004766,Kirk La Shelle
72,tt0004825,Owen Davis
73,tt0004825,Maurice Tourneur
74,tt0004838,William H. Clifford
75,tt0004838,Thomas H. Ince
76,tt0004872,Paul Armstrong
77,tt0004872,O. Henry
78,tt0004873,Lewis Carroll
79,tt0004873,W.W. Young
80,tt0004972,Thomas Dixon Jr.
81,tt0004972,Thomas Dixon Jr.
82,tt0005060,Prosper Mérimée
83,tt0005060,William C. de Mille
84,tt0005078,Hector Turnbull
85,tt0005078,Jeanie Macpherson
86,tt0005149,Thomas H. Ince
87,tt0005149,Thomas H. Ince
88,tt0005339,Porter Emerson Browne
89,tt0005339,Roy L. McCardell
90,tt0005402,Cecil B. DeMille
91,tt0005402,Jeanie Macpherson
92,tt0005529,Benjamin Christensen
93,tt0005557,Thomas H. Ince
94,tt0005557,C. Gardner Sullivan
95,tt0005680,Agnes Fletcher Bain
96,tt0005680,Giovanni Pastrone
97,tt0005719,Christy Cabanne
98,tt0005719,Theodosia Harris
99,tt0005809,Edgar Lewis
100,tt0005809,Edward Sheldon
101,tt0005916,Yevgeny Bauer
102,tt0005916,Ivan Turgenev
103,tt0005951,Alberto Fassini
104,tt0005951,Alberto Fassini
105,tt0005960,Owen Frawley Kildare
106,tt0005960,Raoul Walsh
107,tt0006206,Louis Feuillade
108,tt0006327,William C. de Mille
109,tt0006327,William C. de Mille
110,tt0006333,Jules Verne
111,tt0006509,Roy Somerville
112,tt0006517,C. Gardner Sullivan
113,tt0006589,Roy Somerville
114,tt0006589,Chester Withey
115,tt0006617,A.V. Samsjö
116,tt0006617,Sam Ask
117,tt0006688,Robert M. Baker
118,tt0006731,Bernard McConville
119,tt0006736,Douglas Fairbanks
120,tt0006745,Bernard McConville
121,tt0006753,Bret Harte
122,tt0006753,Anita Loos
123,tt0006780,C. Gardner Sullivan
124,tt0006780,C. Gardner Sullivan
125,tt0006809,John Emerson
126,tt0006809,Anita Loos
127,tt0006826,D.W. Griffith
128,tt0006864,D.W. Griffith
129,tt0006864,Anita Loos
130,tt0006886,Arthur Bernède
131,tt0006886,Louis Feuillade
132,tt0007047,Octavus Roy Cohen
133,tt0007047,John Emerson
134,tt0007183,Alexander Pushkin
135,tt0007183,Fyodor Otsep
136,tt0007257,Robert M. Baker
137,tt0007257,Roy Somerville
138,tt0007260,C. Gardner Sullivan
139,tt0007260,C. Gardner Sullivan
140,tt0007309,Hanns Kräly
141,tt0007309,Erich Schönfelder
142,tt0007338,H.S. Sheldon
143,tt0007338,William Gillette
144,tt0007340,Stella Wynne Herron
145,tt0007340,Jane Addams
146,tt0007361,Winthrop Ames
147,tt0007361,Winthrop Ames
148,tt0007367,John Emerson
149,tt0007367,Anita Loos
150,tt0007522,Herman Bang
151,tt0007522,Axel Esbensen
152,tt0007558,Lucy Payton
153,tt0007558,Franklyn Hall
154,tt0007610,William Wallace Cook
155,tt0007610,Ruth Ann Baldwin
156,tt0007755,George Hively
157,tt0007801,Adrian Johnson
158,tt0007801,Émile Moreau
159,tt0007983,Robert Wiene
160,tt0008011,Frances Marion
161,tt0008011,Maurice Tourneur
162,tt0008100,Sophus Michaëlis
163,tt0008100,Sophus Michaëlis
164,tt0008150,Jeanie Macpherson
165,tt0008150,William C. de Mille
166,tt0008188,Jeanie Macpherson
167,tt0008196,Frances Hodgson Burnett
168,tt0008196,Frances Marion
169,tt0008279,Abel Gance
170,tt0008309,Allan Dwan
171,tt0008309,E.P. Lyle Jr.
172,tt0008395,Leo Tolstoy
173,tt0008395,Alexandre Volkoff
174,tt0008443,Eleanor Gates
175,tt0008443,Frances Marion
176,tt0008489,E.W. Hornung
177,tt0008489,Anthony Paul Kelly
178,tt0008499,Frances Marion
179,tt0008499,Charlotte Thompson
180,tt0008519,Cecil B. DeMille
181,tt0008519,Jeanie Macpherson
182,tt0008536,Olga Blazhevich
183,tt0008634,George Hively
184,tt0008652,Charles Dickens
185,tt0008652,Frank Lloyd
186,tt0008663,Henrik Ibsen
187,tt0008672,Gustaf Molander
188,tt0008679,Frances Marion
189,tt0008679,Mark Swan
190,tt0008687,Mark Twain
191,tt0008687,Julia Crawford Ivers
192,tt0008710,Ester Julin
193,tt0008710,Selma Lagerlöf
194,tt0008775,Horace B. Carpenter
195,tt0008775,Anita Loos
196,tt0008827,Frances Marion
197,tt0008827,Belle K. Maniates
198,tt0008843,Mór Jókai
199,tt0008843,Ladislaus Vajda
200,tt0008854,Hanns Kräly
201,tt0008854,Emil Rameau
202,tt0008879,Victor Sjöström
203,tt0008879,Sam Ask
204,tt0008891,Maurice Maeterlinck
205,tt0008891,Charles Maigne
206,tt0008930,Ida May Park
207,tt0008930,W. Carey Wonderly
208,tt0008950,Grete Diercks
209,tt0008950,Norbert Falk
210,tt0009014,Abel Gance
211,tt0009062,Ernst Lubitsch
212,tt0009086,Mary Murillo
213,tt0009086,George Scarborough
214,tt0009150,D.W. Griffith
215,tt0009150,D.W. Griffith
216,tt0009153,John Ford
217,tt0009153,Harry Carey
218,tt0009241,Rupert Hughes
219,tt0009241,Frances Marion
220,tt0009326,Bret Harte
221,tt0009326,Frances Marion
222,tt0009356,Hayden Talbot
223,tt0009356,Hayden Talbot
224,tt0009369,Hampton Del Ruth
225,tt0009369,J.G. Hawks
226,tt0009440,Jeanie Macpherson
227,tt0009440,David Graham Phillips
228,tt0009475,Cyril Harcourt
229,tt0009475,Edith M. Kennedy
230,tt0009559,D.W. Griffith
231,tt0009608,Charles T. Dazey
232,tt0009611,Charles Chaplin
233,tt0009652,William J. Locke
234,tt0009652,Frances Marion
235,tt0009682,Edgar Rice Burroughs
236,tt0009682,Fred Miller
237,tt0009701,Louis Feuillade
238,tt0009737,Mary Raymond Shipman Andrews
239,tt0009796,Jeanie Macpherson
240,tt0009796,Perley Poore Sheehan
241,tt0009878,Magnus Hirschfeld
242,tt0009878,Richard Oswald
243,tt0009892,Aurora Mardiganian
244,tt0009892,Henry Leyford Gates
245,tt0009893,Hanns Kräly
246,tt0009893,Ernst Lubitsch
247,tt0009894,Juan Manuel Cabrera
248,tt0009894,Miguel Necoechea
249,tt0009900,James Oliver Curwood
250,tt0009900,James Oliver Curwood
251,tt0009915,Gouverneur Morris
252,tt0009915,Luther Reed
253,tt0009937,Erich von Stroheim
254,tt0009937,Erich von Stroheim
255,tt0009968,Thomas Burke
256,tt0009968,D.W. Griffith
257,tt0009976,R. Cecil Smith
258,tt0009976,Earle Snell
259,tt0010040,Jean Webster
260,tt0010040,Agnes Christine Johnston
261,tt0010060,Harvey F. Thew
262,tt0010060,John B. Clymer
263,tt0010071,Jeanie Macpherson
264,tt0010103,Max Marcin
265,tt0010103,Albert Parker
266,tt0010137,Jeanie Macpherson
267,tt0010137,Edgar Selwyn
268,tt0010162,John Emerson
269,tt0010162,Anita Loos
270,tt0010193,William Hale
271,tt0010193,Stanner E.V. Taylor
272,tt0010195,Arthur B. Reeve
273,tt0010195,John Grey
274,tt0010208,David Belasco
275,tt0010208,Max Jungk
276,tt0010219,James B. Fagan
277,tt0010219,Walter Woods
278,tt0010227,John Fox Jr.
279,tt0010227,Bernard McConville
280,tt0010247,Selma Lagerlöf
281,tt0010247,Gustaf Molander
282,tt0010267,Julie Mathilde Lippmann
283,tt0010267,Bernard McConville
284,tt0010281,Hanns Kräly
285,tt0010281,Ernst Lubitsch
286,tt0010298,Selma Lagerlöf
287,tt0010298,Victor Sjöström
288,tt0010307,Abel Gance
289,tt0010323,Carl Mayer
290,tt0010323,Hans Janowitz
291,tt0010418,Jeanie Macpherson
292,tt0010418,J.M. Barrie
293,tt0010456,Hanns Kräly
294,tt0010456,Erich Schönfelder
295,tt0010466,George M. Cohan
296,tt0010466,Robert Hobart Davis
297,tt0010484,D.W. Griffith
298,tt0010484,D.W. Griffith
299,tt0010559,Fritz Lang
300,tt0010559,Edgar Allan Poe
301,tt0010598,Carl Theodor Dreyer
302,tt0010598,Karl Emil Franzos
303,tt0010600,E.T.A. Hoffmann
304,tt0010600,Hanns Kräly
305,tt0010635,Byron Morgan
306,tt0010635,Marion Fairfax
307,tt0010662,Stanner E.V. Taylor
308,tt0010680,C.J. Dennis
309,tt0010680,Raymond Longford
310,tt0010726,Fritz Lang
311,tt0010755,Tom Bret
312,tt0010755,Johannes Linnankoski
313,tt0010806,Marian Fremont
314,tt0010821,Anselma Heine
315,tt0010821,Robert Liebmann
316,tt0010844,Joseph Conrad
317,tt0010844,Jules Furthman
318,tt0010853,C. Gardner Sullivan
319,tt0010853,C. Gardner Sullivan
320,tt0010879,Thomas J. Geraghty
321,tt0010890,Evelyn Campbell
322,tt0010890,Harvey Gates
323,tt0010925,Mack Sennett
324,tt0010953,Hans Brennert
325,tt0010953,Friedel Köhne
326,tt0010962,Norbert Falk
327,tt0010962,Hanns Kräly
328,tt0010964,Adrian Johnson
329,tt0010964,Cynthia Stockley
330,tt0010969,Pierre Benoît
331,tt0010969,Jacques Feyder
332,tt0011000,Edgar Høyer
333,tt0011000,Marie Corelli
334,tt0011130,Robert Louis Stevenson
335,tt0011130,Clara Beranger
336,tt0011157,Ferenc Herczeg
337,tt0011157,Gustaf Molander
338,tt0011173,Rasmus Breistein
339,tt0011173,Kristofer Janson
340,tt0011193,Frances Marion
341,tt0011193,Frances Marion
342,tt0011217,Harriet Bloch
343,tt0011217,Carl Mayer
344,tt0011221,Carl Mayer
345,tt0011237,Henrik Galeen
346,tt0011237,Paul Wegener
347,tt0011267,Arthur 'Bugs' Baer
348,tt0011267,Earle Browne
349,tt0011294,Henri Colpi
350,tt0011294,Gustave Grillet
351,tt0011302,Marcel L'Herbier
352,tt0011302,Honoré de Balzac
353,tt0011317,Fannie Hurst
354,tt0011317,Frances Marion
355,tt0011344,Ellis Parker Butler
356,tt0011344,William Parker
357,tt0011358,John McDermott
358,tt0011358,Paul Schofield
359,tt0011369,Ludwig Ganghofer
360,tt0011370,Franz Grillparzer
361,tt0011370,Victor Sjöström
362,tt0011371,Hanns Kräly
363,tt0011371,Ernst Lubitsch
364,tt0011387,James Fenimore Cooper
