title_id,title,original_title
1,Miss Jerry,Miss Jerry
2,The Story of the Kelly Gang,The Story of the Kelly Gang
3,Den sorte drøm,Den sorte drøm
4,Cleopatra,Cleopatra
5,L'Inferno,L'Inferno
6,"From the Manger to the Cross; or, Jesus of Nazareth","From the Manger to the Cross; or, Jesus of Nazareth"
7,Madame DuBarry,Madame DuBarry
8,Quo Vadis?,Quo Vadis?
9,Independenta Romaniei,Independenta Romaniei
10,Richard III,Richard III
11,Atlantis,Atlantis
12,Fantômas - À l'ombre de la guillotine,Fantômas - À l'ombre de la guillotine
13,Il calvario di una madre,Ingeborg Holm
14,Juve contre Fantômas,Juve contre Fantômas
15,Ma l'amor mio non muore...,Ma l'amor mio non muore...
16,Maudite soit la guerre,Maudite soit la guerre
17,Le mort qui tue,Le mort qui tue
18,Amore di madre,"Home, Sweet Home"
19,Lo studente di Praga,Der Student von Prag
20,Traffic in Souls,Traffic in Souls
21,Gli ultimi giorni di Pompei,Gli ultimi giorni di Pompei
22,Assunta Spina,Assunta Spina
23,The Avenging Conscience: or 'Thou Shalt Not Kill',The Avenging Conscience: or 'Thou Shalt Not Kill'
24,The Bargain,The Bargain
25,Cabiria,Cabiria
26,Cinderella,Cinderella
27,L'enfant de Paris,L'enfant de Paris
28,Fantômas contre Fantômas,Fantômas contre Fantômas
29,A Florida Enchantment,A Florida Enchantment
30,Der Golem,Der Golem
31,Det hemmelighedsfulde X,Det hemmelighedsfulde X
32,"His Majesty, the Scarecrow of Oz","His Majesty, the Scarecrow of Oz"
33,Hypocrites,Hypocrites
34,In the Land of the Head Hunters,In the Land of the Head Hunters
35,Judith of Bethulia,Judith of Bethulia
36,The Patchwork Girl of Oz,The Patchwork Girl of Oz
37,The Perils of Pauline,The Perils of Pauline
38,The Squaw Man,The Squaw Man
39,La madonnina del porto,Tess of the Storm Country
40,Tillie's Punctured Romance,Tillie's Punctured Romance
41,A tolonc,A tolonc
42,Uncle Tom's Cabin,Uncle Tom's Cabin
43,The Virginian,The Virginian
44,The Wishing Ring: An Idyll of Old England,The Wishing Ring: An Idyll of Old England
45,The Wrath of the Gods,The Wrath of the Gods
46,Alias Jimmy Valentine,Alias Jimmy Valentine
47,Alice in Wonderland,Alice in Wonderland
48,Nascita di una nazione,The Birth of a Nation
49,Carmen,Carmen
50,The Cheat,The Cheat
51,The Coward,The Coward
52,La vampira,A Fool There Was
53,The Golden Chance,The Golden Chance
54,Hævnens Nat,Hævnens Nat
55,The Italian,The Italian
56,Maciste,Maciste
57,Martyrs of the Alamo,Martyrs of the Alamo
58,The Nigger,The Nigger
59,Posle smerti,Posle smerti
60,Rapsodia satanica,Rapsodia satanica
61,La rigenerazione,The Regeneration
62,I vampiri,Les vampires
63,Young Romance,Young Romance
64,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea"
65,The Children in the House,The Children in the House
66,Civilization,Civilization
67,The Devil's Needle,The Devil's Needle
68,Dödskyssen,Dödskyssen
69,Flirting with Fate,Flirting with Fate
70,Going Straight,Going Straight
71,The Good Bad-Man,The Good Bad-Man
72,Gretchen the Greenhorn,Gretchen the Greenhorn
73,The Half-Breed,The Half-Breed
74,Hell's Hinges,Hell's Hinges
75,His Picture in the Papers,His Picture in the Papers
76,Hoodoo Ann,Hoodoo Ann
77,Intolerance,Intolerance: Love's Struggle Throughout the Ages
78,Judex,Judex
79,The Matrimaniac,The Matrimaniac
80,Pikovaya dama,Pikovaya dama
81,Reggie Mixes In,Reggie Mixes In
82,The Return of Draw Egan,The Return of Draw Egan
83,Schuhpalast Pinkus,Schuhpalast Pinkus
84,Sherlock Holmes,Sherlock Holmes
85,Shoes,Shoes
86,Snow White,Snow White
